year	hhid	region	zones	woreda	ea	total_valuefert	total_qty_w	real_tpricefert_cens_mrk	formal_credit	informal_credit	ext_acess	ag_rainy_13	filter	num_mem	weight	hh_headage	femhead	attend_sch	mrk_dist_w	worker	safety_net	soil_qty_rev2	hh_s6bq04	hh_s6aq02	asset	hhasset_value	hhasset_value_w	real_hhvalue	land_holding	median_mrk	median_price	median_age	median_soil	ag_rainy_15	ag_rainy_18	mrk_dist	s5bq02	s5bq09	ag_rainy_21	s7q02	s7q04
2013	010204088801702048	1	2	4	10204088369152	1026	75	15.833333	0	1	1	1	Matched (3)	6	3819.716552734375	44	0	1	26	2	0	2	2399	113	Matched (3)	2512	2512	2512	.3078146	8	15	46	2								
2013	010204088801702063	1	2	4	10204088369152	342	24	14.25	0	1	1	1	Matched (3)	7	3819.716552734375	44	0	0	26	2	0	2	3273	114	Matched (3)	3387	3387	3387	.191852	8	15	46	2								
2013	010204088801702078	1	2	4	10204088369152	1025	75	14.2	0	0	1	1	Matched (3)	6	3819.716552734375	60	0	1	26	5	0	2	4122	91	Matched (3)	4213	4213	4213	1.110019	8	15	46	2								
2013	010204088801702093	1	2	4	10204088369152	1262	100	14.214286	0	1	1	1	Matched (3)	7	3819.716552734375	62	0	0	26	4	1	2	2472	99	Matched (3)	2571	2571	2571	.58827198	8	15	46	2								
2013	010204088801702108	1	2	4	10204088369152	1753	125	15.777778	0	0	1	1	Matched (3)	5	3819.716552734375	61	0	0	26	3	0	2	2561	35	Matched (3)	2596	2596	2596	1.255614	8	15	46	2								
2013	010204088801702123	1	2	4	10204088369152	532	36	14.777778	1	0	1	1	Matched (3)	4	3819.716552734375	44	0	1	26	2	0	2	1958	47	Matched (3)	2005	2005	2005	.13848001	8	15	46	2								
2013	010204088801702138	1	2	4	10204088369152	710	50	14.2	0	0	1	1	Matched (3)	6	3819.716552734375	62	0	0	26	4	0	2	2847	77	Matched (3)	2924	2924	2924	.35295901	8	15	46	2								
2013	010206088801301018	1	2	6	10206089052160	416	24	24	0	0	1	1	Matched (3)	3	3292.635498046875	76	0	0	21	1	1	2	485	13	Matched (3)	498	498	498	1.0699129	8	15	46	2								
2013	010206088801301033	1	2	6	10206089052160	800	50	16	0	0	1	1	Matched (3)	6	3292.635498046875	62	0	0	21	4	0	2	1012	22	Matched (3)	1034	1034	1034	1.33129	8	15	46	2								
2013	010206088801301050	1	2	6	10206089052160	928	116	14.078462	0	0	1	1	Matched (3)	8	3292.635498046875	49	0	1	21	6	0	2	2921	59	Matched (3)	2980	2980	2980	2.8405001	8	15	46	2								
2013	010206088801301066	1	2	6	10206089052160	349	26	14.078462	0	0	1	1	Matched (3)	4	3292.635498046875	54	1	0	21	3	1	3	155	16	Matched (3)	171	171	171	.93792772	8	15	46	2								
